roadblock,time,weather,infrastructure,type,volume,severity
partial-blockage,night,foggy,bad,freeway,750-1000,medium
major-accident,morning,light-rain,good,highways,750-1000,high
partial-blockage,early-morning,snow/storm,average,highways,250-499,medium
full-blockage,night,light-rain,average,collector,250-499,high
full-blockage,evening,heavy,bad,freeway,0-249,medium
full-blockage,morning,heavy,average,local,500-749,high
full-roadwork,evening,clear,average,highways,750-1000,medium
minor-accident,afternoon,heavy,average,arterial,1000+,medium
none,afternoon,heavy,bad,highways,750-1000,high
full-roadwork,night,light-rain,average,collector,750-1000,high
full-blockage,morning,foggy,average,collector,0-249,medium
none,afternoon,snow/storm,bad,collector,1000+,very-high
partial-roadwork,evening,snow/storm,good,local,1000+,very-high
full-roadwork,evening,clear,bad,collector,0-249,medium
major-accident,morning,light-rain,good,collector,250-499,medium
full-roadwork,early-morning,light-rain,good,freeway,250-499,low
partial-blockage,afternoon,foggy,bad,local,250-499,high
none,morning,snow/storm,average,freeway,1000+,high
full-roadwork,afternoon,heavy,average,highways,500-749,high
full-roadwork,morning,heavy,bad,arterial,1000+,high
major-accident,night,foggy,bad,collector,1000+,high
partial-blockage,night,foggy,good,highways,250-499,low
major-accident,night,clear,average,highways,750-1000,medium
partial-roadwork,morning,clear,average,arterial,500-749,high
full-roadwork,early-morning,clear,average,highways,500-749,medium
major-accident,evening,heavy,bad,freeway,250-499,medium
major-accident,night,light-rain,bad,collector,1000+,very-high
full-roadwork,night,foggy,bad,collector,500-749,high
partial-blockage,afternoon,foggy,bad,highways,1000+,high
partial-blockage,evening,light-rain,good,highways,750-1000,medium
full-blockage,night,snow/storm,bad,arterial,1000+,very-high
major-accident,early-morning,foggy,average,freeway,0-249,low
major-accident,night,snow/storm,average,highways,0-249,high
none,evening,foggy,average,arterial,0-249,low
minor-accident,evening,clear,good,arterial,1000+,medium
major-accident,afternoon,snow/storm,average,freeway,0-249,medium
full-blockage,evening,light-rain,good,arterial,1000+,high
full-roadwork,evening,clear,average,highways,750-1000,medium
minor-accident,early-morning,light-rain,good,local,1000+,medium
full-blockage,evening,snow/storm,good,highways,250-499,high
partial-roadwork,morning,light-rain,good,highways,0-249,low
partial-blockage,night,light-rain,bad,highways,250-499,medium
major-accident,evening,clear,good,local,0-249,low
minor-accident,night,foggy,good,freeway,1000+,medium
major-accident,morning,light-rain,average,local,500-749,high
full-blockage,evening,foggy,good,highways,500-749,medium
partial-roadwork,night,foggy,bad,freeway,250-499,medium
partial-blockage,night,clear,bad,arterial,0-249,low
partial-roadwork,evening,light-rain,bad,collector,250-499,medium
none,afternoon,clear,average,freeway,750-1000,low
partial-blockage,afternoon,light-rain,average,arterial,250-499,medium
partial-blockage,morning,heavy,good,freeway,0-249,low
full-blockage,evening,snow/storm,good,highways,500-749,medium
none,morning,light-rain,average,arterial,250-499,medium
full-roadwork,night,clear,good,highways,0-249,very-low
minor-accident,early-morning,foggy,good,local,500-749,medium
partial-blockage,evening,light-rain,good,arterial,1000+,high
full-roadwork,early-morning,heavy,average,freeway,250-499,very-low
full-blockage,night,heavy,average,freeway,750-1000,high
full-roadwork,morning,snow/storm,average,highways,750-1000,very-high
major-accident,evening,snow/storm,good,arterial,250-499,high
major-accident,early-morning,snow/storm,average,local,250-499,medium
partial-roadwork,evening,clear,bad,collector,500-749,high
partial-roadwork,afternoon,light-rain,bad,highways,1000+,medium
full-blockage,night,heavy,average,collector,1000+,very-high
none,night,snow/storm,good,freeway,750-1000,medium
minor-accident,morning,foggy,bad,highways,750-1000,high
full-blockage,afternoon,foggy,good,highways,1000+,medium
full-roadwork,evening,foggy,average,arterial,250-499,medium
minor-accident,afternoon,heavy,average,arterial,0-249,low
minor-accident,afternoon,snow/storm,bad,freeway,250-499,medium
partial-roadwork,evening,heavy,good,collector,250-499,medium
full-blockage,evening,clear,average,freeway,250-499,low
partial-blockage,early-morning,heavy,average,arterial,1000+,medium
minor-accident,afternoon,clear,good,local,1000+,medium
major-accident,afternoon,snow/storm,bad,arterial,500-749,high
none,night,clear,bad,freeway,0-249,low
full-blockage,evening,foggy,average,local,500-749,high
major-accident,morning,light-rain,bad,collector,750-1000,very-high
none,afternoon,snow/storm,bad,freeway,0-249,low
partial-blockage,afternoon,clear,good,freeway,0-249,very-low
minor-accident,afternoon,snow/storm,good,collector,250-499,medium
partial-blockage,afternoon,clear,average,collector,1000+,medium
major-accident,evening,foggy,good,collector,250-499,medium
minor-accident,evening,heavy,bad,freeway,250-499,medium
full-blockage,morning,snow/storm,bad,collector,1000+,very-high
minor-accident,night,foggy,bad,highways,750-1000,medium
full-roadwork,morning,snow/storm,bad,highways,250-499,high
major-accident,evening,snow/storm,average,local,250-499,very-high
partial-roadwork,early-morning,snow/storm,average,arterial,1000+,high
minor-accident,morning,foggy,average,freeway,250-499,medium
none,night,heavy,average,arterial,1000+,high
full-roadwork,morning,light-rain,bad,collector,750-1000,high
partial-roadwork,night,light-rain,average,highways,500-749,medium
minor-accident,afternoon,clear,bad,collector,1000+,high
major-accident,morning,clear,bad,highways,0-249,low
partial-roadwork,evening,heavy,bad,collector,750-1000,high
partial-blockage,afternoon,light-rain,average,highways,0-249,low
full-blockage,evening,heavy,average,local,1000+,very-high
partial-blockage,afternoon,clear,good,collector,500-749,low
partial-roadwork,afternoon,clear,bad,arterial,500-749,medium
partial-roadwork,night,heavy,average,collector,500-749,medium
major-accident,evening,heavy,average,arterial,0-249,medium
minor-accident,morning,light-rain,average,highways,250-499,medium
none,night,clear,bad,local,1000+,high
full-blockage,night,foggy,bad,arterial,500-749,high
full-blockage,morning,clear,average,collector,1000+,high
minor-accident,afternoon,light-rain,bad,collector,250-499,high
full-blockage,morning,heavy,good,highways,1000+,high
partial-roadwork,evening,foggy,average,arterial,750-1000,medium
partial-blockage,early-morning,clear,bad,collector,500-749,medium
none,evening,light-rain,bad,collector,1000+,high
partial-blockage,night,clear,good,highways,250-499,very-low
none,morning,foggy,bad,local,1000+,high
major-accident,evening,snow/storm,average,freeway,250-499,high
major-accident,night,foggy,average,highways,0-249,medium
partial-blockage,afternoon,clear,bad,freeway,1000+,medium
full-blockage,morning,heavy,good,collector,250-499,medium
partial-roadwork,afternoon,snow/storm,average,collector,500-749,high
full-roadwork,afternoon,heavy,bad,local,1000+,very-high
full-roadwork,morning,foggy,average,freeway,0-249,low
none,afternoon,foggy,good,collector,500-749,medium
full-roadwork,morning,light-rain,average,local,0-249,low
partial-blockage,evening,snow/storm,average,local,0-249,medium
full-roadwork,morning,foggy,average,highways,250-499,medium
full-roadwork,afternoon,foggy,bad,collector,750-1000,high
minor-accident,morning,snow/storm,bad,highways,250-499,high
none,morning,light-rain,good,local,0-249,medium
full-roadwork,morning,foggy,bad,collector,0-249,medium
partial-roadwork,morning,foggy,average,highways,750-1000,high
full-roadwork,night,light-rain,bad,freeway,750-1000,high
full-blockage,early-morning,foggy,average,freeway,500-749,medium
full-blockage,night,light-rain,good,arterial,750-1000,medium
full-blockage,morning,heavy,good,collector,1000+,high
none,morning,foggy,good,collector,1000+,high
full-blockage,evening,heavy,bad,collector,250-499,high
partial-blockage,early-morning,clear,average,collector,500-749,low
full-blockage,early-morning,snow/storm,bad,collector,250-499,high
major-accident,morning,foggy,good,freeway,0-249,low
major-accident,night,heavy,good,local,500-749,medium
none,evening,snow/storm,good,collector,500-749,medium
partial-roadwork,afternoon,clear,average,freeway,500-749,low
full-blockage,morning,snow/storm,average,arterial,1000+,very-high
major-accident,night,snow/storm,average,arterial,750-1000,high
major-accident,evening,snow/storm,bad,highways,250-499,very-high
partial-blockage,morning,clear,average,local,0-249,medium
none,morning,heavy,good,arterial,250-499,low
major-accident,afternoon,clear,average,collector,750-1000,low
partial-roadwork,night,light-rain,bad,arterial,0-249,low
minor-accident,early-morning,snow/storm,average,highways,1000+,high
partial-blockage,evening,heavy,average,arterial,0-249,low
full-roadwork,evening,heavy,average,local,250-499,high
minor-accident,early-morning,light-rain,average,collector,0-249,medium
minor-accident,early-morning,foggy,good,freeway,500-749,medium
minor-accident,evening,clear,good,freeway,1000+,medium
minor-accident,night,foggy,good,local,500-749,medium
partial-roadwork,evening,light-rain,bad,collector,250-499,high
partial-blockage,afternoon,foggy,average,highways,1000+,medium
major-accident,early-morning,foggy,average,local,750-1000,high
partial-blockage,night,snow/storm,average,highways,250-499,low
partial-roadwork,evening,heavy,average,arterial,750-1000,high
minor-accident,morning,heavy,bad,local,1000+,very-high
partial-roadwork,afternoon,heavy,good,arterial,500-749,medium
partial-roadwork,night,clear,bad,highways,1000+,high
partial-blockage,afternoon,clear,average,freeway,500-749,medium
full-blockage,afternoon,snow/storm,good,collector,0-249,high
major-accident,night,heavy,bad,freeway,1000+,high
none,afternoon,clear,average,arterial,500-749,low
partial-blockage,early-morning,light-rain,average,freeway,0-249,very-low
minor-accident,morning,heavy,bad,arterial,250-499,high
major-accident,morning,snow/storm,bad,freeway,1000+,high
partial-roadwork,afternoon,snow/storm,good,local,0-249,medium
full-blockage,night,light-rain,good,highways,500-749,medium
partial-roadwork,morning,clear,average,highways,250-499,low
major-accident,early-morning,heavy,bad,freeway,500-749,high
full-roadwork,early-morning,foggy,bad,local,500-749,high
full-blockage,morning,heavy,good,highways,0-249,low
partial-blockage,evening,snow/storm,good,collector,500-749,high
partial-roadwork,evening,clear,average,arterial,500-749,medium
full-roadwork,afternoon,snow/storm,good,highways,1000+,high
full-roadwork,afternoon,clear,bad,freeway,0-249,low
minor-accident,evening,clear,bad,freeway,750-1000,high
full-blockage,evening,snow/storm,good,arterial,500-749,very-high
none,morning,light-rain,good,arterial,1000+,medium
none,early-morning,foggy,average,arterial,500-749,medium
none,early-morning,clear,bad,arterial,750-1000,medium
partial-blockage,early-morning,heavy,average,local,1000+,high
full-blockage,afternoon,foggy,bad,collector,500-749,high
partial-roadwork,evening,heavy,average,collector,250-499,high
partial-blockage,early-morning,heavy,bad,local,250-499,high
full-blockage,early-morning,heavy,bad,local,250-499,high
partial-roadwork,early-morning,foggy,average,collector,500-749,low
full-blockage,morning,light-rain,average,freeway,0-249,medium
none,afternoon,snow/storm,good,local,1000+,high
minor-accident,morning,heavy,bad,local,1000+,very-high
partial-roadwork,early-morning,foggy,average,arterial,0-249,low
major-accident,early-morning,snow/storm,good,local,1000+,high
full-blockage,morning,snow/storm,bad,highways,250-499,high
partial-roadwork,night,clear,average,highways,250-499,very-low
full-blockage,afternoon,clear,bad,freeway,0-249,medium
full-roadwork,night,heavy,good,highways,250-499,medium
major-accident,night,clear,good,highways,0-249,very-low
minor-accident,night,clear,bad,freeway,500-749,low
minor-accident,evening,heavy,good,freeway,250-499,low
partial-blockage,afternoon,light-rain,bad,collector,1000+,high
minor-accident,evening,heavy,bad,arterial,500-749,medium
full-blockage,evening,snow/storm,good,arterial,750-1000,high
partial-blockage,evening,foggy,bad,collector,750-1000,high
partial-roadwork,evening,clear,bad,collector,0-249,medium
full-blockage,early-morning,heavy,good,arterial,0-249,very-low
minor-accident,evening,light-rain,good,arterial,500-749,low
minor-accident,early-morning,snow/storm,average,freeway,1000+,high
partial-blockage,afternoon,light-rain,bad,highways,0-249,medium
partial-blockage,evening,snow/storm,good,freeway,750-1000,high
minor-accident,evening,clear,average,highways,750-1000,medium
minor-accident,evening,snow/storm,bad,freeway,1000+,high
full-blockage,early-morning,clear,bad,local,500-749,medium
full-roadwork,night,light-rain,good,arterial,500-749,medium
full-roadwork,afternoon,heavy,bad,freeway,750-1000,high
partial-blockage,evening,light-rain,average,freeway,0-249,medium
major-accident,early-morning,clear,good,collector,1000+,high
full-blockage,early-morning,foggy,average,collector,500-749,high
partial-roadwork,afternoon,light-rain,average,collector,750-1000,medium
partial-roadwork,early-morning,heavy,good,highways,750-1000,medium
partial-blockage,night,snow/storm,good,highways,750-1000,medium
partial-roadwork,night,light-rain,good,local,750-1000,medium
partial-blockage,morning,light-rain,average,arterial,0-249,medium
full-roadwork,early-morning,heavy,average,freeway,250-499,medium
partial-roadwork,morning,light-rain,good,local,250-499,medium
partial-blockage,morning,heavy,good,freeway,250-499,low
partial-roadwork,night,heavy,bad,local,500-749,high
partial-roadwork,afternoon,foggy,bad,collector,250-499,medium
major-accident,evening,foggy,good,arterial,750-1000,medium
partial-roadwork,early-morning,clear,good,arterial,750-1000,medium
full-blockage,morning,snow/storm,average,arterial,250-499,high
full-blockage,night,snow/storm,average,freeway,250-499,medium
partial-blockage,night,foggy,good,collector,750-1000,high
full-roadwork,evening,clear,average,highways,1000+,medium
full-roadwork,early-morning,foggy,bad,arterial,750-1000,high
full-blockage,early-morning,clear,average,local,250-499,medium
major-accident,early-morning,foggy,average,arterial,1000+,high
major-accident,morning,clear,average,highways,1000+,high
none,afternoon,snow/storm,bad,arterial,1000+,high
minor-accident,evening,foggy,good,collector,250-499,medium
major-accident,early-morning,foggy,good,collector,250-499,medium
full-blockage,evening,clear,good,local,750-1000,high
full-roadwork,night,clear,bad,arterial,0-249,medium
none,afternoon,heavy,bad,local,500-749,high
full-blockage,night,heavy,bad,collector,250-499,high
